student_id,study_hours,attendance,assignment_completion,quiz_average,sleep_hours,phone_usage,dsa_problems,exam_days_remaining,final_score,risk_score,risk_level
S0309,5.5,91.0,83.0,98.0,6.76,3.6,34.0,35,81.0,0,LOW
S0310,4.1,84.0,88.0,72.0,6.44,3.05,36.0,39,71.0,0,LOW
S0311,4.1,78.0,70.0,54.0,7.05,4.82,31.0,15,56.0,1,LOW
S0312,6.5,88.0,100.0,79.0,4.91,8.58,59.0,53,77.0,0,LOW
S0313,6.0,95.0,78.0,100.0,7.59,3.49,10.0,24,83.0,0,LOW
S0314,6.0,85.0,82.0,57.0,7.46,5.97,47.0,28,59.0,1,LOW
S0315,6.8,78.0,85.0,67.0,6.51,3.86,57.0,16,78.0,1,LOW
S0316,4.5,62.0,81.0,78.0,8.21,4.85,49.0,16,69.0,1,LOW
S0317,5.7,65.0,88.0,71.0,5.65,1.72,81.0,40,76.0,1,LOW
S0318,3.9,74.0,66.0,57.0,8.35,4.95,24.0,39,54.0,3,HIGH
S0319,5.1,71.0,67.0,89.0,7.19,5.02,54.0,6,58.0,2,MEDIUM
S0320,4.3,76.0,58.0,100.0,6.6,6.85,33.0,2,75.0,1,LOW
S0321,4.7,79.0,82.0,75.0,6.98,6.06,60.0,54,75.0,0,LOW
S0322,5.6,84.0,87.0,58.0,6.87,2.5,35.0,13,62.0,1,LOW
S0323,3.0,77.0,82.0,49.0,8.46,8.21,27.0,44,57.0,1,LOW
S0324,8.3,84.0,100.0,76.0,5.71,6.03,61.0,47,85.0,0,LOW
S0325,2.7,79.0,75.0,89.0,6.08,6.0,25.0,59,60.0,0,LOW
S0326,2.3,54.0,85.0,79.0,8.24,5.48,7.0,9,64.0,1,LOW
S0327,6.6,67.0,59.0,72.0,6.29,4.21,25.0,34,61.0,2,MEDIUM
S0328,5.9,76.0,69.0,63.0,8.08,6.04,47.0,17,72.0,2,MEDIUM
S0329,5.6,63.0,85.0,56.0,9.04,6.69,63.0,27,68.0,2,MEDIUM
S0330,5.6,85.0,88.0,85.0,6.52,1.13,37.0,29,83.0,0,LOW
S0331,4.5,96.0,71.0,86.0,7.82,4.15,61.0,37,77.0,0,LOW
S0332,2.9,93.0,74.0,49.0,5.62,4.86,8.0,43,56.0,1,LOW
S0333,4.6,75.0,52.0,96.0,7.91,6.14,26.0,22,65.0,1,LOW
S0334,3.3,96.0,70.0,81.0,7.24,8.48,29.0,51,59.0,0,LOW
S0335,6.3,80.0,88.0,93.0,7.57,3.57,33.0,24,80.0,0,LOW
S0336,4.2,74.0,84.0,52.0,6.23,4.26,37.0,7,65.0,2,MEDIUM
S0337,3.0,71.0,83.0,52.0,5.01,4.22,49.0,34,62.0,2,MEDIUM
S0338,3.9,74.0,76.0,70.0,7.6,3.5,26.0,48,65.0,1,LOW
S0339,5.2,73.0,75.0,80.0,4.52,4.63,38.0,12,56.0,1,LOW
S0340,3.5,80.0,65.0,99.0,6.62,7.43,34.0,23,65.0,1,LOW
S0341,3.0,80.0,85.0,83.0,8.13,2.87,16.0,15,64.0,0,LOW
S0342,4.9,78.0,81.0,68.0,7.23,6.57,33.0,33,58.0,1,LOW
S0343,4.9,83.0,82.0,57.0,9.34,1.25,32.0,57,70.0,1,LOW
S0344,3.6,92.0,67.0,90.0,8.23,4.1,32.0,13,56.0,1,LOW
S0345,3.7,89.0,43.0,58.0,6.22,4.68,36.0,23,57.0,2,MEDIUM
S0346,4.9,60.0,91.0,96.0,7.03,9.69,37.0,38,80.0,1,LOW
S0347,1.9,47.0,68.0,68.0,6.94,4.81,26.0,32,48.0,4,HIGH
S0348,2.0,89.0,62.0,96.0,5.1,0.5,60.0,45,68.0,1,LOW
S0349,3.2,62.0,85.0,82.0,5.87,0.5,12.0,50,70.0,1,LOW
S0350,4.1,75.0,69.0,70.0,6.33,5.59,21.0,35,54.0,1,LOW
S0351,5.1,64.0,91.0,64.0,4.56,7.03,91.0,1,74.0,2,MEDIUM
S0352,7.2,56.0,84.0,67.0,7.06,6.44,14.0,47,60.0,2,MEDIUM
S0353,6.0,84.0,85.0,78.0,6.7,5.92,8.0,58,63.0,0,LOW
S0354,4.2,87.0,55.0,73.0,4.99,8.41,50.0,45,62.0,1,LOW
S0355,4.5,71.0,93.0,63.0,7.49,4.15,0.0,5,62.0,2,MEDIUM
S0356,2.7,47.0,79.0,70.0,7.86,7.74,30.0,57,43.0,1,LOW
S0357,4.5,71.0,69.0,73.0,7.27,1.42,78.0,13,77.0,2,MEDIUM
S0358,4.0,83.0,77.0,40.0,6.61,3.24,4.0,54,50.0,1,LOW
S0359,5.1,60.0,48.0,79.0,7.71,0.98,0.0,5,60.0,2,MEDIUM
S0360,3.0,80.0,81.0,57.0,7.82,4.81,5.0,60,65.0,1,LOW
S0361,5.4,78.0,60.0,55.0,7.37,5.38,53.0,32,61.0,2,MEDIUM
S0362,7.3,85.0,55.0,47.0,6.01,5.79,57.0,51,69.0,2,MEDIUM
S0363,4.3,79.0,52.0,45.0,7.33,5.65,25.0,21,44.0,2,MEDIUM
S0364,5.2,66.0,92.0,52.0,8.43,3.18,49.0,24,73.0,2,MEDIUM
S0365,5.7,92.0,66.0,61.0,6.28,5.02,63.0,60,62.0,2,MEDIUM
S0366,3.8,76.0,98.0,100.0,9.52,1.76,71.0,18,78.0,0,LOW
S0367,4.9,78.0,67.0,64.0,6.37,8.91,30.0,21,50.0,2,MEDIUM
S0368,4.5,67.0,49.0,75.0,7.04,4.74,0.0,54,55.0,2,MEDIUM
S0369,4.7,73.0,58.0,78.0,6.19,4.28,19.0,10,64.0,2,MEDIUM
S0370,3.1,67.0,94.0,74.0,7.27,9.47,26.0,24,66.0,1,LOW
S0371,4.5,76.0,73.0,71.0,4.91,2.39,30.0,40,55.0,0,LOW
S0372,5.4,99.0,67.0,54.0,6.34,2.69,31.0,47,65.0,2,MEDIUM
S0373,7.1,62.0,77.0,94.0,5.69,2.76,57.0,21,81.0,1,LOW
S0374,6.2,59.0,83.0,99.0,7.16,5.33,60.0,25,82.0,1,LOW
S0375,8.4,96.0,92.0,47.0,8.19,6.58,32.0,52,68.0,1,LOW
S0376,3.1,75.0,97.0,57.0,7.78,7.35,57.0,60,47.0,1,LOW
S0377,6.1,70.0,70.0,68.0,4.15,11.93,42.0,57,66.0,2,MEDIUM
S0378,4.8,90.0,55.0,58.0,9.45,0.5,36.0,59,59.0,2,MEDIUM
S0379,8.4,71.0,69.0,80.0,7.35,7.02,53.0,23,76.0,2,MEDIUM
S0380,3.0,100.0,79.0,61.0,6.07,4.11,36.0,22,62.0,1,LOW
S0381,3.0,86.0,61.0,100.0,7.19,4.03,76.0,4,73.0,1,LOW
S0382,3.4,72.0,61.0,90.0,7.21,3.95,6.0,34,65.0,2,MEDIUM
S0383,0.7,100.0,80.0,75.0,6.2,3.23,25.0,56,49.0,1,LOW
S0384,3.6,71.0,74.0,87.0,7.24,9.71,32.0,6,69.0,1,LOW
S0385,3.1,87.0,75.0,89.0,6.27,7.61,44.0,28,66.0,0,LOW
S0386,4.8,82.0,64.0,64.0,6.51,5.56,60.0,31,72.0,2,MEDIUM
S0387,5.1,94.0,72.0,60.0,6.18,8.88,35.0,35,59.0,1,LOW
S0388,7.9,97.0,61.0,73.0,5.28,1.72,7.0,39,67.0,1,LOW
S0389,6.2,78.0,88.0,85.0,7.18,2.17,52.0,42,78.0,0,LOW
S0390,3.5,69.0,91.0,74.0,7.7,0.5,50.0,23,72.0,1,LOW
S0391,2.9,84.0,47.0,48.0,7.62,3.75,0.0,6,42.0,2,MEDIUM
S0392,5.4,70.0,61.0,60.0,7.98,5.9,35.0,16,61.0,3,HIGH
S0393,2.1,100.0,53.0,71.0,7.39,5.76,3.0,2,50.0,1,LOW
S0394,7.8,80.0,65.0,71.0,6.36,5.87,22.0,24,69.0,1,LOW
S0395,6.6,74.0,74.0,100.0,8.01,1.97,17.0,17,90.0,1,LOW
S0396,3.7,80.0,53.0,51.0,5.37,7.51,51.0,45,53.0,2,MEDIUM
S0397,1.4,62.0,61.0,80.0,5.92,6.1,37.0,1,55.0,3,HIGH
S0398,6.9,66.0,60.0,94.0,5.84,7.33,9.0,6,59.0,2,MEDIUM
S0399,4.3,92.0,78.0,100.0,8.3,0.77,53.0,5,87.0,0,LOW
S0400,6.7,70.0,76.0,66.0,8.13,6.28,6.0,57,70.0,2,MEDIUM
S0401,1.6,65.0,64.0,79.0,7.58,2.53,42.0,45,52.0,3,HIGH
S0402,3.4,84.0,78.0,81.0,8.29,4.51,19.0,60,71.0,0,LOW
S0403,4.5,92.0,67.0,75.0,5.94,6.84,28.0,55,66.0,1,LOW
S0404,4.6,87.0,71.0,71.0,7.42,5.73,45.0,50,66.0,0,LOW
S0405,3.7,90.0,100.0,79.0,6.85,3.37,45.0,29,82.0,0,LOW
S0406,5.6,69.0,95.0,34.0,8.02,5.52,62.0,12,59.0,2,MEDIUM
S0407,2.6,61.0,56.0,82.0,6.86,1.67,33.0,39,52.0,2,MEDIUM
S0408,4.2,96.0,87.0,74.0,6.54,8.38,41.0,47,70.0,0,LOW
S0409,4.7,74.0,87.0,69.0,7.65,4.99,26.0,3,69.0,2,MEDIUM
S0410,5.4,75.0,58.0,100.0,8.05,8.3,39.0,48,75.0,1,LOW
S0411,5.8,94.0,87.0,62.0,6.2,4.18,44.0,1,70.0,1,LOW
S0412,2.5,85.0,98.0,66.0,6.93,4.19,33.0,27,59.0,1,LOW
S0413,1.7,83.0,58.0,100.0,5.73,3.59,0.0,48,75.0,2,MEDIUM
S0414,6.8,100.0,61.0,60.0,4.0,7.69,42.0,24,59.0,2,MEDIUM
S0415,5.1,70.0,90.0,64.0,7.24,3.73,42.0,44,68.0,2,MEDIUM
S0416,3.2,89.0,79.0,70.0,7.73,7.11,21.0,19,65.0,0,LOW
S0417,7.3,79.0,83.0,85.0,7.31,4.54,9.0,59,82.0,0,LOW
S0418,4.7,81.0,80.0,75.0,4.66,0.56,65.0,8,69.0,0,LOW
S0419,6.6,96.0,81.0,53.0,6.58,4.07,45.0,55,58.0,1,LOW
S0420,4.6,84.0,55.0,64.0,4.34,2.55,30.0,44,55.0,2,MEDIUM
S0421,8.2,84.0,91.0,63.0,8.64,5.58,12.0,47,78.0,1,LOW
S0422,7.7,91.0,93.0,71.0,5.7,2.52,19.0,2,82.0,0,LOW
S0423,4.1,74.0,72.0,78.0,8.51,7.81,61.0,30,69.0,1,LOW
S0424,6.2,68.0,74.0,78.0,8.14,5.27,38.0,30,73.0,1,LOW
S0425,5.7,65.0,52.0,45.0,5.92,5.06,24.0,49,58.0,3,HIGH
S0426,7.0,54.0,83.0,88.0,5.64,7.14,45.0,39,69.0,1,LOW
S0427,2.8,100.0,84.0,76.0,7.42,7.91,19.0,45,57.0,0,LOW
S0428,5.7,65.0,74.0,93.0,5.99,5.45,65.0,32,76.0,1,LOW
S0429,6.4,75.0,92.0,79.0,7.12,3.57,62.0,1,72.0,0,LOW
S0430,1.3,75.0,70.0,89.0,6.42,1.07,26.0,38,53.0,1,LOW
S0431,2.4,82.0,83.0,79.0,4.86,3.78,22.0,13,70.0,0,LOW
S0432,0.8,88.0,60.0,92.0,4.32,3.96,0.0,11,57.0,2,MEDIUM
S0433,4.0,88.0,75.0,80.0,7.27,5.77,5.0,10,64.0,0,LOW
S0434,5.8,71.0,72.0,71.0,6.33,4.64,8.0,48,63.0,1,LOW
S0435,7.2,76.0,78.0,100.0,6.34,7.22,38.0,59,78.0,0,LOW
S0436,4.6,81.0,69.0,85.0,7.84,3.97,28.0,26,75.0,1,LOW
S0437,7.4,75.0,73.0,81.0,8.41,5.36,8.0,56,61.0,0,LOW
S0438,2.0,97.0,87.0,53.0,6.67,8.46,29.0,55,47.0,1,LOW
S0439,1.4,84.0,68.0,53.0,6.59,6.35,45.0,20,45.0,3,HIGH
S0440,4.4,87.0,51.0,76.0,7.6,5.35,46.0,17,63.0,1,LOW
S0441,5.2,86.0,100.0,74.0,5.37,4.0,0.0,17,82.0,0,LOW
S0442,4.4,92.0,96.0,63.0,7.27,3.92,32.0,4,74.0,1,LOW
S0443,0.8,80.0,56.0,74.0,7.66,3.37,7.0,5,53.0,2,MEDIUM
S0444,4.3,62.0,85.0,96.0,7.82,4.15,53.0,60,73.0,1,LOW
S0445,2.2,83.0,67.0,82.0,4.68,7.39,51.0,23,53.0,1,LOW
S0446,5.7,70.0,79.0,55.0,6.09,4.95,17.0,46,63.0,2,MEDIUM
S0447,5.2,72.0,79.0,70.0,5.95,2.13,20.0,52,78.0,1,LOW
S0448,2.8,85.0,71.0,60.0,7.12,9.92,26.0,10,52.0,1,LOW
S0449,3.6,93.0,63.0,66.0,7.58,6.3,0.0,46,52.0,2,MEDIUM
S0450,2.6,78.0,65.0,66.0,8.8,1.98,42.0,28,56.0,2,MEDIUM
S0451,4.4,82.0,61.0,65.0,6.41,4.4,30.0,33,62.0,2,MEDIUM
S0452,6.2,98.0,63.0,53.0,6.4,5.78,54.0,43,65.0,2,MEDIUM
S0453,2.7,81.0,74.0,70.0,8.38,9.76,13.0,26,60.0,0,LOW
S0454,5.4,100.0,64.0,64.0,7.36,2.73,23.0,55,64.0,2,MEDIUM
S0455,3.5,85.0,85.0,28.0,8.52,7.94,5.0,50,46.0,1,LOW
S0456,3.1,57.0,97.0,100.0,7.35,9.0,15.0,48,69.0,1,LOW
S0457,4.3,87.0,66.0,88.0,5.61,3.93,11.0,29,63.0,1,LOW
S0458,2.6,83.0,79.0,66.0,5.4,4.81,55.0,27,72.0,1,LOW
S0459,3.5,93.0,82.0,72.0,5.14,2.91,21.0,18,70.0,0,LOW
S0460,2.3,86.0,82.0,54.0,7.79,4.99,37.0,40,50.0,1,LOW
S0461,8.0,76.0,76.0,97.0,8.43,5.41,27.0,60,75.0,0,LOW
S0462,4.6,63.0,86.0,100.0,9.22,7.15,10.0,10,73.0,1,LOW
S0463,3.2,75.0,82.0,74.0,8.01,8.23,32.0,58,62.0,0,LOW
S0464,4.9,68.0,56.0,87.0,8.4,3.63,47.0,42,67.0,2,MEDIUM
S0465,4.3,71.0,88.0,75.0,6.3,0.58,11.0,5,66.0,1,LOW
S0466,4.1,85.0,88.0,52.0,5.61,5.45,51.0,10,66.0,1,LOW
S0467,5.6,98.0,64.0,66.0,8.02,6.23,18.0,50,62.0,2,MEDIUM
S0468,5.9,83.0,76.0,74.0,7.5,6.12,25.0,21,71.0,0,LOW
S0469,3.5,64.0,85.0,65.0,7.13,4.68,46.0,24,66.0,2,MEDIUM
S0470,3.5,83.0,72.0,69.0,7.46,5.81,22.0,38,69.0,1,LOW
S0471,4.0,92.0,91.0,71.0,7.39,9.29,36.0,3,64.0,0,LOW
S0472,0.5,71.0,100.0,71.0,8.54,6.45,29.0,40,58.0,2,MEDIUM
S0473,1.8,76.0,63.0,73.0,8.55,4.57,38.0,31,48.0,2,MEDIUM
S0474,7.0,78.0,54.0,56.0,7.65,4.25,0.0,41,68.0,2,MEDIUM
S0475,7.5,69.0,80.0,61.0,8.01,5.08,0.0,37,53.0,2,MEDIUM
S0476,4.1,86.0,86.0,53.0,7.62,9.59,47.0,2,71.0,1,LOW
S0477,5.5,77.0,72.0,87.0,6.45,5.04,56.0,2,73.0,0,LOW
S0478,5.1,83.0,97.0,40.0,7.91,5.45,17.0,39,63.0,1,LOW
S0479,10.0,67.0,55.0,89.0,5.33,4.29,30.0,49,75.0,2,MEDIUM
S0480,6.5,73.0,85.0,93.0,8.26,8.25,41.0,42,77.0,1,LOW
S0481,4.3,87.0,66.0,67.0,5.57,10.4,49.0,44,64.0,2,MEDIUM
S0482,2.8,74.0,100.0,33.0,7.34,6.63,0.0,34,40.0,2,MEDIUM
S0483,1.6,99.0,100.0,67.0,5.99,5.71,17.0,42,59.0,2,MEDIUM
S0484,4.9,73.0,64.0,71.0,7.66,5.59,28.0,20,55.0,2,MEDIUM
S0485,3.1,81.0,67.0,57.0,6.96,0.5,49.0,33,61.0,2,MEDIUM
S0486,1.9,89.0,88.0,64.0,5.09,7.36,85.0,4,64.0,2,MEDIUM
S0487,3.3,61.0,69.0,95.0,7.5,5.84,30.0,45,67.0,2,MEDIUM
S0488,2.6,57.0,74.0,82.0,6.31,6.57,7.0,44,57.0,1,LOW
S0489,7.5,60.0,75.0,58.0,8.06,3.72,43.0,11,73.0,2,MEDIUM
S0490,6.1,93.0,46.0,48.0,7.0,4.54,61.0,42,54.0,2,MEDIUM
S0491,4.5,71.0,75.0,67.0,7.47,4.47,37.0,47,63.0,2,MEDIUM
S0492,7.2,100.0,65.0,69.0,5.85,8.05,17.0,5,74.0,2,MEDIUM
S0493,4.6,71.0,68.0,79.0,6.29,4.55,54.0,25,71.0,2,MEDIUM
S0494,2.9,80.0,97.0,64.0,6.45,10.71,48.0,49,53.0,1,LOW
S0495,7.2,97.0,56.0,80.0,8.03,6.58,14.0,60,63.0,1,LOW
S0496,5.5,100.0,87.0,100.0,9.01,2.31,43.0,37,83.0,0,LOW
S0497,2.6,100.0,71.0,84.0,6.03,5.18,55.0,34,66.0,0,LOW
S0498,4.2,93.0,71.0,71.0,8.29,3.87,59.0,9,67.0,0,LOW
S0499,2.9,90.0,87.0,69.0,4.4,0.5,34.0,6,71.0,1,LOW
S0500,2.0,85.0,80.0,67.0,5.57,9.5,28.0,18,58.0,1,LOW
S0501,6.2,87.0,84.0,90.0,5.85,7.26,60.0,14,81.0,0,LOW
S0502,7.9,71.0,90.0,63.0,5.38,6.83,11.0,19,74.0,2,MEDIUM
S0503,2.0,68.0,70.0,73.0,5.1,5.91,44.0,14,62.0,1,LOW
S0504,5.5,78.0,66.0,73.0,7.5,2.04,8.0,40,45.0,1,LOW
S0505,3.3,76.0,59.0,64.0,6.74,4.29,56.0,17,55.0,2,MEDIUM
S0506,3.6,73.0,63.0,51.0,7.46,7.6,30.0,60,45.0,3,HIGH
S0507,3.4,86.0,100.0,77.0,7.83,2.87,60.0,35,77.0,0,LOW
S0508,2.9,89.0,94.0,71.0,7.32,0.5,45.0,29,67.0,0,LOW
S0509,4.6,79.0,55.0,80.0,7.79,4.93,11.0,42,60.0,1,LOW
S0510,3.0,96.0,55.0,64.0,6.92,5.15,63.0,17,64.0,2,MEDIUM
S0511,5.0,64.0,82.0,90.0,5.58,5.84,66.0,59,70.0,1,LOW
S0512,4.4,76.0,83.0,59.0,8.27,7.32,53.0,43,65.0,1,LOW
S0513,4.1,69.0,83.0,98.0,6.29,7.09,20.0,8,79.0,1,LOW
S0514,2.9,56.0,71.0,46.0,5.88,6.15,29.0,1,52.0,2,MEDIUM
S0515,3.5,77.0,73.0,79.0,6.79,8.49,38.0,45,52.0,0,LOW
S0516,5.9,77.0,80.0,79.0,5.9,1.7,21.0,53,69.0,0,LOW
S0517,5.4,96.0,76.0,60.0,6.5,6.76,69.0,36,71.0,1,LOW
S0518,2.7,86.0,42.0,78.0,7.41,7.07,38.0,7,57.0,1,LOW
S0519,4.7,66.0,72.0,91.0,7.42,2.4,0.0,46,64.0,1,LOW
S0520,5.9,100.0,62.0,39.0,5.92,1.74,42.0,5,56.0,2,MEDIUM
S0521,1.5,93.0,78.0,80.0,6.41,3.64,28.0,24,63.0,1,LOW
S0522,5.5,85.0,100.0,35.0,8.29,3.85,34.0,28,57.0,1,LOW
S0523,3.3,75.0,81.0,58.0,7.6,7.38,28.0,43,63.0,1,LOW
S0524,5.5,66.0,70.0,96.0,9.49,3.96,51.0,17,84.0,1,LOW
S0525,3.1,74.0,89.0,63.0,8.42,3.36,57.0,37,66.0,2,MEDIUM
S0526,1.3,91.0,82.0,54.0,8.37,3.97,41.0,20,54.0,2,MEDIUM
S0527,1.6,100.0,81.0,69.0,5.33,8.3,28.0,3,64.0,2,MEDIUM
S0528,4.6,97.0,84.0,100.0,7.92,5.53,34.0,37,82.0,0,LOW
S0529,5.0,72.0,100.0,45.0,6.94,5.05,35.0,26,61.0,2,MEDIUM
S0530,2.9,65.0,58.0,56.0,6.34,5.22,19.0,15,47.0,3,HIGH
S0531,5.6,80.0,82.0,94.0,7.2,8.73,47.0,51,71.0,0,LOW
S0532,1.5,57.0,61.0,100.0,8.13,3.63,44.0,48,61.0,3,HIGH
S0533,4.4,82.0,83.0,70.0,7.6,8.79,66.0,8,69.0,0,LOW
S0534,2.3,76.0,61.0,53.0,5.95,6.03,60.0,13,47.0,2,MEDIUM
S0535,3.3,72.0,69.0,100.0,7.89,5.1,21.0,48,59.0,2,MEDIUM
S0536,4.6,59.0,71.0,96.0,6.23,11.75,51.0,3,58.0,1,LOW
S0537,3.0,84.0,90.0,82.0,7.26,2.86,16.0,1,70.0,0,LOW
S0538,3.8,72.0,89.0,60.0,6.64,4.62,49.0,9,63.0,2,MEDIUM
S0539,6.3,64.0,56.0,71.0,6.74,2.42,25.0,31,61.0,2,MEDIUM
S0540,3.5,44.0,76.0,70.0,7.92,7.88,15.0,41,56.0,1,LOW
S0541,6.0,78.0,64.0,77.0,5.75,9.72,41.0,54,60.0,1,LOW
S0542,2.5,99.0,56.0,94.0,9.33,9.67,0.0,26,52.0,1,LOW
S0543,5.5,98.0,72.0,85.0,4.81,8.56,0.0,17,69.0,0,LOW
S0544,7.1,73.0,70.0,56.0,6.28,5.01,31.0,56,53.0,2,MEDIUM
S0545,0.5,71.0,100.0,93.0,7.44,4.59,37.0,34,65.0,2,MEDIUM
S0546,3.1,84.0,81.0,77.0,7.7,1.32,28.0,9,81.0,0,LOW
S0547,5.5,66.0,54.0,82.0,6.88,10.59,3.0,56,49.0,2,MEDIUM
S0548,4.1,82.0,67.0,94.0,6.93,6.67,19.0,51,63.0,1,LOW
S0549,5.2,87.0,90.0,55.0,7.49,4.27,43.0,13,54.0,1,LOW
S0550,3.4,93.0,100.0,71.0,6.72,8.82,47.0,5,68.0,0,LOW
S0551,4.7,77.0,51.0,64.0,8.67,3.07,35.0,41,69.0,2,MEDIUM
S0552,4.2,76.0,47.0,48.0,8.01,6.52,58.0,13,53.0,2,MEDIUM
S0553,6.6,67.0,100.0,77.0,8.05,5.07,43.0,1,73.0,1,LOW
S0554,5.0,68.0,81.0,100.0,5.84,7.1,20.0,25,84.0,1,LOW
S0555,5.1,75.0,62.0,44.0,6.9,5.34,29.0,47,42.0,2,MEDIUM
S0556,3.8,82.0,83.0,72.0,6.64,1.87,7.0,4,67.0,0,LOW
S0557,3.6,89.0,35.0,82.0,5.79,5.69,33.0,36,57.0,1,LOW
S0558,3.7,68.0,75.0,74.0,7.43,8.12,57.0,52,61.0,1,LOW
S0559,5.2,96.0,80.0,70.0,6.35,5.43,49.0,10,75.0,0,LOW
S0560,3.7,75.0,89.0,53.0,7.79,7.44,63.0,28,54.0,1,LOW
S0561,5.0,78.0,60.0,75.0,5.72,2.89,29.0,57,65.0,1,LOW
S0562,8.2,69.0,76.0,61.0,9.06,5.43,62.0,6,73.0,2,MEDIUM
S0563,6.1,49.0,61.0,39.0,5.92,3.94,31.0,27,45.0,3,HIGH
S0564,3.9,89.0,79.0,90.0,7.26,7.37,64.0,56,84.0,0,LOW
S0565,6.7,87.0,62.0,86.0,7.95,5.58,35.0,12,71.0,1,LOW
S0566,3.8,75.0,69.0,73.0,6.32,7.23,49.0,52,60.0,1,LOW
S0567,0.8,79.0,60.0,75.0,8.02,8.22,65.0,48,48.0,2,MEDIUM
S0568,2.7,84.0,85.0,88.0,5.52,7.23,31.0,3,66.0,0,LOW
S0569,1.1,59.0,88.0,75.0,8.74,6.18,39.0,46,71.0,2,MEDIUM
S0570,3.9,72.0,71.0,86.0,7.02,3.0,61.0,33,67.0,1,LOW
S0571,4.5,88.0,76.0,68.0,6.28,5.49,32.0,10,67.0,1,LOW
S0572,7.5,63.0,53.0,92.0,6.64,4.17,9.0,31,74.0,2,MEDIUM
S0573,5.1,82.0,71.0,77.0,7.97,4.64,78.0,15,70.0,0,LOW
S0574,4.1,62.0,74.0,75.0,6.3,4.56,26.0,7,58.0,1,LOW
S0575,6.0,84.0,100.0,53.0,6.1,3.05,38.0,36,74.0,1,LOW
S0576,0.5,78.0,58.0,76.0,6.73,0.61,58.0,14,54.0,2,MEDIUM
S0577,4.9,59.0,97.0,60.0,5.59,3.83,23.0,56,62.0,2,MEDIUM
S0578,5.9,92.0,90.0,62.0,9.18,5.98,15.0,48,74.0,1,LOW
S0579,1.8,69.0,79.0,60.0,6.32,2.13,40.0,14,55.0,3,HIGH
S0580,6.6,68.0,100.0,56.0,8.0,5.54,0.0,3,73.0,2,MEDIUM
S0581,5.1,80.0,81.0,100.0,7.25,10.25,29.0,49,72.0,0,LOW
S0582,3.8,92.0,81.0,92.0,5.82,8.06,40.0,53,63.0,0,LOW
S0583,5.6,66.0,74.0,100.0,6.99,9.61,30.0,46,50.0,1,LOW
S0584,8.6,79.0,93.0,54.0,7.94,6.48,4.0,50,59.0,1,LOW
S0585,4.8,83.0,91.0,73.0,6.77,8.42,67.0,3,62.0,0,LOW
S0586,4.9,86.0,66.0,53.0,8.43,3.69,37.0,22,61.0,2,MEDIUM
S0587,3.7,80.0,55.0,62.0,8.23,3.89,64.0,19,52.0,2,MEDIUM
S0588,3.0,74.0,72.0,58.0,8.1,0.5,30.0,35,45.0,2,MEDIUM
S0589,6.0,68.0,63.0,91.0,6.45,8.47,17.0,12,65.0,2,MEDIUM
S0590,3.0,79.0,74.0,66.0,5.7,9.35,40.0,54,50.0,1,LOW
S0591,4.6,65.0,94.0,88.0,6.26,4.12,31.0,5,75.0,1,LOW
S0592,3.6,43.0,68.0,81.0,7.24,4.87,11.0,10,58.0,2,MEDIUM
S0593,5.4,83.0,74.0,100.0,7.65,3.62,64.0,41,82.0,0,LOW
S0594,5.1,89.0,76.0,50.0,4.39,6.46,23.0,33,44.0,1,LOW
S0595,6.4,50.0,88.0,91.0,6.99,8.31,0.0,13,69.0,1,LOW
S0596,3.6,66.0,41.0,89.0,7.19,1.14,62.0,35,61.0,2,MEDIUM
S0597,4.0,85.0,66.0,57.0,6.67,6.52,25.0,51,48.0,2,MEDIUM
S0598,2.7,100.0,78.0,87.0,8.55,4.81,23.0,32,54.0,0,LOW
S0599,3.7,78.0,93.0,77.0,7.51,5.78,0.0,11,64.0,0,LOW
S0600,5.2,69.0,68.0,69.0,8.57,6.65,70.0,48,71.0,3,HIGH
S0601,5.9,76.0,47.0,60.0,6.74,5.03,9.0,38,39.0,2,MEDIUM
S0602,2.8,94.0,84.0,61.0,8.12,5.24,36.0,24,56.0,1,LOW
S0603,6.1,70.0,65.0,100.0,8.96,4.97,53.0,35,76.0,2,MEDIUM
S0604,6.9,68.0,57.0,72.0,8.57,7.93,43.0,19,70.0,2,MEDIUM
S0605,5.2,72.0,66.0,84.0,5.69,6.55,34.0,6,64.0,2,MEDIUM
S0606,7.9,67.0,72.0,60.0,6.7,6.05,1.0,40,74.0,2,MEDIUM
S0607,3.1,79.0,66.0,60.0,6.59,2.32,19.0,54,44.0,2,MEDIUM
S0608,2.3,97.0,42.0,88.0,7.59,4.55,39.0,45,47.0,1,LOW
S0609,1.3,82.0,88.0,52.0,7.82,7.75,19.0,44,57.0,2,MEDIUM
S0610,7.2,75.0,94.0,66.0,5.99,5.59,39.0,42,60.0,1,LOW
S0611,5.7,74.0,85.0,73.0,7.08,7.15,49.0,35,73.0,1,LOW
S0612,4.4,59.0,58.0,74.0,4.58,9.92,54.0,4,55.0,2,MEDIUM
S0613,5.0,89.0,72.0,69.0,8.73,8.1,10.0,33,56.0,1,LOW
S0614,2.5,77.0,75.0,78.0,6.39,5.73,79.0,13,62.0,0,LOW
S0615,8.9,76.0,84.0,82.0,7.07,4.22,50.0,56,74.0,0,LOW
S0616,4.7,100.0,85.0,83.0,6.63,0.5,35.0,36,74.0,0,LOW
S0617,4.7,82.0,64.0,57.0,8.38,5.08,57.0,54,60.0,2,MEDIUM
