student_id,study_hours,attendance,assignment_completion,quiz_average,sleep_hours,phone_usage,dsa_problems,exam_days_remaining,final_score
S0386,4.8,82.0,64.0,64.0,6.51,5.56,60.0,31,70
S0387,5.1,94.0,72.0,60.0,6.18,8.88,35.0,35,71
S0388,7.9,97.0,61.0,73.0,5.28,1.72,7.0,39,75
S0389,6.2,78.0,88.0,85.0,7.18,2.17,52.0,42,84
S0390,3.5,69.0,91.0,74.0,7.7,0.5,50.0,23,74
S0391,2.9,84.0,47.0,48.0,7.62,3.75,0.0,6,51
S0392,5.4,70.0,61.0,60.0,7.98,5.9,35.0,16,65
S0393,2.1,100.0,53.0,71.0,7.39,5.76,3.0,2,61
S0394,7.8,80.0,65.0,71.0,6.36,5.87,22.0,24,74
S0395,6.6,74.0,74.0,100.0,8.01,1.97,17.0,17,81
S0396,3.7,80.0,53.0,51.0,5.37,7.51,51.0,45,60
S0397,1.4,62.0,61.0,80.0,5.92,6.1,37.0,1,62
S0398,6.9,66.0,60.0,94.0,5.84,7.33,9.0,6,75
S0399,4.3,92.0,78.0,100.0,8.3,0.77,53.0,5,84
S0400,6.7,70.0,76.0,66.0,8.13,6.28,6.0,57,70
S0401,1.6,65.0,64.0,79.0,7.58,2.53,42.0,45,64
S0402,3.4,84.0,78.0,81.0,8.29,4.51,19.0,60,72
S0403,4.5,92.0,67.0,75.0,5.94,6.84,28.0,55,72
S0404,4.6,87.0,71.0,71.0,7.42,5.73,45.0,50,73
S0405,3.7,90.0,100.0,79.0,6.85,3.37,45.0,29,81
S0406,5.6,69.0,95.0,34.0,8.02,5.52,62.0,12,69
S0407,2.6,61.0,56.0,82.0,6.86,1.67,33.0,39,63
S0408,4.2,96.0,87.0,74.0,6.54,8.38,41.0,47,78
S0409,4.7,74.0,87.0,69.0,7.65,4.99,26.0,3,72
S0410,5.4,75.0,58.0,100.0,8.05,8.3,39.0,48,77
S0411,5.8,94.0,87.0,62.0,6.2,4.18,44.0,1,77
S0412,2.5,85.0,98.0,66.0,6.93,4.19,33.0,27,72
S0413,1.7,83.0,58.0,100.0,5.73,3.59,0.0,48,67
S0414,6.8,100.0,61.0,60.0,4.0,7.69,42.0,24,73
S0415,5.1,70.0,90.0,64.0,7.24,3.73,42.0,44,73
S0416,3.2,89.0,79.0,70.0,7.73,7.11,21.0,19,69
S0417,7.3,79.0,83.0,85.0,7.31,4.54,9.0,59,80
S0418,4.7,81.0,80.0,75.0,4.66,0.56,65.0,8,77
S0419,6.6,96.0,81.0,53.0,6.58,4.07,45.0,55,75
S0420,4.6,84.0,55.0,64.0,4.34,2.55,30.0,44,65
S0421,8.2,84.0,91.0,63.0,8.64,5.58,12.0,47,79
S0422,7.7,91.0,93.0,71.0,5.7,2.52,19.0,2,82
S0423,4.1,74.0,72.0,78.0,8.51,7.81,61.0,30,74
S0424,6.2,68.0,74.0,78.0,8.14,5.27,38.0,30,75
S0425,5.7,65.0,52.0,45.0,5.92,5.06,24.0,49,57
S0426,7.0,54.0,83.0,88.0,5.64,7.14,45.0,39,81
S0427,2.8,100.0,84.0,76.0,7.42,7.91,19.0,45,73
S0428,5.7,65.0,74.0,93.0,5.99,5.45,65.0,32,81
S0429,6.4,75.0,92.0,79.0,7.12,3.57,62.0,1,84
S0430,1.3,75.0,70.0,89.0,6.42,1.07,26.0,38,67
S0431,2.4,82.0,83.0,79.0,4.86,3.78,22.0,13,71
S0432,0.8,88.0,60.0,92.0,4.32,3.96,0.0,11,64
S0433,4.0,88.0,75.0,80.0,7.27,5.77,5.0,10,71
S0434,5.8,71.0,72.0,71.0,6.33,4.64,8.0,48,69
S0435,7.2,76.0,78.0,100.0,6.34,7.22,38.0,59,86
S0436,4.6,81.0,69.0,85.0,7.84,3.97,28.0,26,74
S0437,7.4,75.0,73.0,81.0,8.41,5.36,8.0,56,76
S0438,2.0,97.0,87.0,53.0,6.67,8.46,29.0,55,66
S0439,1.4,84.0,68.0,53.0,6.59,6.35,45.0,20,60
S0440,4.4,87.0,51.0,76.0,7.6,5.35,46.0,17,69
S0441,5.2,86.0,100.0,74.0,5.37,4.0,0.0,17,77
S0442,4.4,92.0,96.0,63.0,7.27,3.92,32.0,4,76
S0443,0.8,80.0,56.0,74.0,7.66,3.37,7.0,5,57
S0444,4.3,62.0,85.0,96.0,7.82,4.15,53.0,60,80
S0445,2.2,83.0,67.0,82.0,4.68,7.39,51.0,23,70
S0446,5.7,70.0,79.0,55.0,6.09,4.95,17.0,46,67
S0447,5.2,72.0,79.0,70.0,5.95,2.13,20.0,52,71
S0448,2.8,85.0,71.0,60.0,7.12,9.92,26.0,10,64
S0449,3.6,93.0,63.0,66.0,7.58,6.3,0.0,46,64
S0450,2.6,78.0,65.0,66.0,8.8,1.98,42.0,28,64
S0451,4.4,82.0,61.0,65.0,6.41,4.4,30.0,33,66
S0452,6.2,98.0,63.0,53.0,6.4,5.78,54.0,43,71
S0453,2.7,81.0,74.0,70.0,8.38,9.76,13.0,26,65
S0454,5.4,100.0,64.0,64.0,7.36,2.73,23.0,55,70
S0455,3.5,85.0,85.0,28.0,8.52,7.94,5.0,50,57
S0456,3.1,57.0,97.0,100.0,7.35,9.0,15.0,48,77
S0457,4.3,87.0,66.0,88.0,5.61,3.93,11.0,29,72
S0458,2.6,83.0,79.0,66.0,5.4,4.81,55.0,27,70
S0459,3.5,93.0,82.0,72.0,5.14,2.91,21.0,18,72
S0460,2.3,86.0,82.0,54.0,7.79,4.99,37.0,40,65
S0461,8.0,76.0,76.0,97.0,8.43,5.41,27.0,60,85
S0462,4.6,63.0,86.0,100.0,9.22,7.15,10.0,10,78
S0463,3.2,75.0,82.0,74.0,8.01,8.23,32.0,58,70
S0464,4.9,68.0,56.0,87.0,8.4,3.63,47.0,42,72
S0465,4.3,71.0,88.0,75.0,6.3,0.58,11.0,5,72
S0466,4.1,85.0,88.0,52.0,5.61,5.45,51.0,10,70
S0467,5.6,98.0,64.0,66.0,8.02,6.23,18.0,50,70
S0468,5.9,83.0,76.0,74.0,7.5,6.12,25.0,21,75
S0469,3.5,64.0,85.0,65.0,7.13,4.68,46.0,24,69
S0470,3.5,83.0,72.0,69.0,7.46,5.81,22.0,38,67
S0471,4.0,92.0,91.0,71.0,7.39,9.29,36.0,3,76
S0472,0.5,71.0,100.0,71.0,8.54,6.45,29.0,40,68
S0473,1.8,76.0,63.0,73.0,8.55,4.57,38.0,31,63
S0474,7.0,78.0,54.0,56.0,7.65,4.25,0.0,41,63
S0475,7.5,69.0,80.0,61.0,8.01,5.08,0.0,37,70
S0476,4.1,86.0,86.0,53.0,7.62,9.59,47.0,2,70
S0477,5.5,77.0,72.0,87.0,6.45,5.04,56.0,2,79
S0478,5.1,83.0,97.0,40.0,7.91,5.45,17.0,39,67
S0479,10.0,67.0,55.0,89.0,5.33,4.29,30.0,49,80
S0480,6.5,73.0,85.0,93.0,8.26,8.25,41.0,42,84
S0481,4.3,87.0,66.0,67.0,5.57,10.4,49.0,44,70
S0482,2.8,74.0,100.0,33.0,7.34,6.63,0.0,34,58
S0483,1.6,99.0,100.0,67.0,5.99,5.71,17.0,42,72
S0484,4.9,73.0,64.0,71.0,7.66,5.59,28.0,20,68
S0485,3.1,81.0,67.0,57.0,6.96,0.5,49.0,33,64
S0486,1.9,89.0,88.0,64.0,5.09,7.36,85.0,4,74
S0487,3.3,61.0,69.0,95.0,7.5,5.84,30.0,45,71
S0488,2.6,57.0,74.0,82.0,6.31,6.57,7.0,44,64
S0489,7.5,60.0,75.0,58.0,8.06,3.72,43.0,11,71
S0490,6.1,93.0,46.0,48.0,7.0,4.54,61.0,42,65
S0491,4.5,71.0,75.0,67.0,7.47,4.47,37.0,47,69
S0492,7.2,100.0,65.0,69.0,5.85,8.05,17.0,5,75
S0493,4.6,71.0,68.0,79.0,6.29,4.55,54.0,25,73
S0494,2.9,80.0,97.0,64.0,6.45,10.71,48.0,49,73
S0495,7.2,97.0,56.0,80.0,8.03,6.58,14.0,60,75
S0496,5.5,100.0,87.0,100.0,9.01,2.31,43.0,37,89
S0497,2.6,100.0,71.0,84.0,6.03,5.18,55.0,34,75
S0498,4.2,93.0,71.0,71.0,8.29,3.87,59.0,9,74
S0499,2.9,90.0,87.0,69.0,4.4,0.5,34.0,6,72
S0500,2.0,85.0,80.0,67.0,5.57,9.5,28.0,18,66
S0501,6.2,87.0,84.0,90.0,5.85,7.26,60.0,14,86
S0502,7.9,71.0,90.0,63.0,5.38,6.83,11.0,19,76
S0503,2.0,68.0,70.0,73.0,5.1,5.91,44.0,14,65
S0504,5.5,78.0,66.0,73.0,7.5,2.04,8.0,40,69
S0505,3.3,76.0,59.0,64.0,6.74,4.29,56.0,17,64
S0506,3.6,73.0,63.0,51.0,7.46,7.6,30.0,60,59
S0507,3.4,86.0,100.0,77.0,7.83,2.87,60.0,35,81
S0508,2.9,89.0,94.0,71.0,7.32,0.5,45.0,29,75
S0509,4.6,79.0,55.0,80.0,7.79,4.93,11.0,42,67
S0510,3.0,96.0,55.0,64.0,6.92,5.15,63.0,17,66
S0511,5.0,64.0,82.0,90.0,5.58,5.84,66.0,59,81
S0512,4.4,76.0,83.0,59.0,8.27,7.32,53.0,43,71
S0513,4.1,69.0,83.0,98.0,6.29,7.09,20.0,8,78
S0514,2.9,56.0,71.0,46.0,5.88,6.15,29.0,1,55
S0515,3.5,77.0,73.0,79.0,6.79,8.49,38.0,45,71
S0516,5.9,77.0,80.0,79.0,5.9,1.7,21.0,53,76
S0517,5.4,96.0,76.0,60.0,6.5,6.76,69.0,36,76
S0518,2.7,86.0,42.0,78.0,7.41,7.07,38.0,7,63
S0519,4.7,66.0,72.0,91.0,7.42,2.4,0.0,46,71
S0520,5.9,100.0,62.0,39.0,5.92,1.74,42.0,5,65
S0521,1.5,93.0,78.0,80.0,6.41,3.64,28.0,24,70
S0522,5.5,85.0,100.0,35.0,8.29,3.85,34.0,28,69
S0523,3.3,75.0,81.0,58.0,7.6,7.38,28.0,43,65
S0524,5.5,66.0,70.0,96.0,9.49,3.96,51.0,17,79
S0525,3.1,74.0,89.0,63.0,8.42,3.36,57.0,37,71
S0526,1.3,91.0,82.0,54.0,8.37,3.97,41.0,20,64
S0527,1.6,100.0,81.0,69.0,5.33,8.3,28.0,3,69
S0528,4.6,97.0,84.0,100.0,7.92,5.53,34.0,37,85
S0529,5.0,72.0,100.0,45.0,6.94,5.05,35.0,26,70
S0530,2.9,65.0,58.0,56.0,6.34,5.22,19.0,15,56
S0531,5.6,80.0,82.0,94.0,7.2,8.73,47.0,51,83
S0532,1.5,57.0,61.0,100.0,8.13,3.63,44.0,48,68
S0533,4.4,82.0,83.0,70.0,7.6,8.79,66.0,8,76
S0534,2.3,76.0,61.0,53.0,5.95,6.03,60.0,13,60
S0535,3.3,72.0,69.0,100.0,7.89,5.1,21.0,48,74
S0536,4.6,59.0,71.0,96.0,6.23,11.75,51.0,3,77
S0537,3.0,84.0,90.0,82.0,7.26,2.86,16.0,1,74
S0538,3.8,72.0,89.0,60.0,6.64,4.62,49.0,9,70
S0539,6.3,64.0,56.0,71.0,6.74,2.42,25.0,31,67
S0540,3.5,44.0,76.0,70.0,7.92,7.88,15.0,41,62
S0541,6.0,78.0,64.0,77.0,5.75,9.72,41.0,54,74
S0542,2.5,99.0,56.0,94.0,9.33,9.67,0.0,26,69
S0543,5.5,98.0,72.0,85.0,4.81,8.56,0.0,17,76
S0544,7.1,73.0,70.0,56.0,6.28,5.01,31.0,56,69
S0545,0.5,71.0,100.0,93.0,7.44,4.59,37.0,34,75
S0546,3.1,84.0,81.0,77.0,7.7,1.32,28.0,9,72
S0547,5.5,66.0,54.0,82.0,6.88,10.59,3.0,56,66
S0548,4.1,82.0,67.0,94.0,6.93,6.67,19.0,51,74
S0549,5.2,87.0,90.0,55.0,7.49,4.27,43.0,13,74
S0550,3.4,93.0,100.0,71.0,6.72,8.82,47.0,5,79
S0551,4.7,77.0,51.0,64.0,8.67,3.07,35.0,41,63
S0552,4.2,76.0,47.0,48.0,8.01,6.52,58.0,13,59
S0553,6.6,67.0,100.0,77.0,8.05,5.07,43.0,1,82
S0554,5.0,68.0,81.0,100.0,5.84,7.1,20.0,25,79
S0555,5.1,75.0,62.0,44.0,6.9,5.34,29.0,47,60
S0556,3.8,82.0,83.0,72.0,6.64,1.87,7.0,4,70
S0557,3.6,89.0,35.0,82.0,5.79,5.69,33.0,36,64
S0558,3.7,68.0,75.0,74.0,7.43,8.12,57.0,52,71
S0559,5.2,96.0,80.0,70.0,6.35,5.43,49.0,10,78
S0560,3.7,75.0,89.0,53.0,7.79,7.44,63.0,28,70
S0561,5.0,78.0,60.0,75.0,5.72,2.89,29.0,57,69
S0562,8.2,69.0,76.0,61.0,9.06,5.43,62.0,6,77
S0563,6.1,49.0,61.0,39.0,5.92,3.94,31.0,27,56
S0564,3.9,89.0,79.0,90.0,7.26,7.37,64.0,56,81
S0565,6.7,87.0,62.0,86.0,7.95,5.58,35.0,12,78
S0566,3.8,75.0,69.0,73.0,6.32,7.23,49.0,52,70
S0567,0.8,79.0,60.0,75.0,8.02,8.22,65.0,48,64
S0568,2.7,84.0,85.0,88.0,5.52,7.23,31.0,3,76
S0569,1.1,59.0,88.0,75.0,8.74,6.18,39.0,46,66
S0570,3.9,72.0,71.0,86.0,7.02,3.0,61.0,33,75
S0571,4.5,88.0,76.0,68.0,6.28,5.49,32.0,10,72
S0572,7.5,63.0,53.0,92.0,6.64,4.17,9.0,31,73
S0573,5.1,82.0,71.0,77.0,7.97,4.64,78.0,15,78
S0574,4.1,62.0,74.0,75.0,6.3,4.56,26.0,7,68
S0575,6.0,84.0,100.0,53.0,6.1,3.05,38.0,36,76
S0576,0.5,78.0,58.0,76.0,6.73,0.61,58.0,14,63
S0577,4.9,59.0,97.0,60.0,5.59,3.83,23.0,56,70
S0578,5.9,92.0,90.0,62.0,9.18,5.98,15.0,48,75
S0579,1.8,69.0,79.0,60.0,6.32,2.13,40.0,14,63
S0580,6.6,68.0,100.0,56.0,8.0,5.54,0.0,3,72
S0581,5.1,80.0,81.0,100.0,7.25,10.25,29.0,49,82
S0582,3.8,92.0,81.0,92.0,5.82,8.06,40.0,53,80
S0583,5.6,66.0,74.0,100.0,6.99,9.61,30.0,46,79
S0584,8.6,79.0,93.0,54.0,7.94,6.48,4.0,50,76
S0585,4.8,83.0,91.0,73.0,6.77,8.42,67.0,3,80
S0586,4.9,86.0,66.0,53.0,8.43,3.69,37.0,22,66
S0587,3.7,80.0,55.0,62.0,8.23,3.89,64.0,19,65
S0588,3.0,74.0,72.0,58.0,8.1,0.5,30.0,35,62
S0589,6.0,68.0,63.0,91.0,6.45,8.47,17.0,12,74
S0590,3.0,79.0,74.0,66.0,5.7,9.35,40.0,54,67
S0591,4.6,65.0,94.0,88.0,6.26,4.12,31.0,5,79
S0592,3.6,43.0,68.0,81.0,7.24,4.87,11.0,10,63
S0593,5.4,83.0,74.0,100.0,7.65,3.62,64.0,41,85
S0594,5.1,89.0,76.0,50.0,4.39,6.46,23.0,33,67
S0595,6.4,50.0,88.0,91.0,6.99,8.31,0.0,13,76
S0596,3.6,66.0,41.0,89.0,7.19,1.14,62.0,35,67
S0597,4.0,85.0,66.0,57.0,6.67,6.52,25.0,51,64
S0598,2.7,100.0,78.0,87.0,8.55,4.81,23.0,32,75
S0599,3.7,78.0,93.0,77.0,7.51,5.78,0.0,11,72
S0600,5.2,69.0,68.0,69.0,8.57,6.65,70.0,48,72
S0601,5.9,76.0,47.0,60.0,6.74,5.03,9.0,38,61
S0602,2.8,94.0,84.0,61.0,8.12,5.24,36.0,24,69
S0603,6.1,70.0,65.0,100.0,8.96,4.97,53.0,35,81
S0604,6.9,68.0,57.0,72.0,8.57,7.93,43.0,19,71
S0605,5.2,72.0,66.0,84.0,5.69,6.55,34.0,6,73
S0606,7.9,67.0,72.0,60.0,6.7,6.05,1.0,40,69
S0607,3.1,79.0,66.0,60.0,6.59,2.32,19.0,54,61
S0608,2.3,97.0,42.0,88.0,7.59,4.55,39.0,45,67
S0609,1.3,82.0,88.0,52.0,7.82,7.75,19.0,44,61
S0610,7.2,75.0,94.0,66.0,5.99,5.59,39.0,42,80
S0611,5.7,74.0,85.0,73.0,7.08,7.15,49.0,35,77
S0612,4.4,59.0,58.0,74.0,4.58,9.92,54.0,4,67
S0613,5.0,89.0,72.0,69.0,8.73,8.1,10.0,33,70
S0614,2.5,77.0,75.0,78.0,6.39,5.73,79.0,13,73
S0615,8.9,76.0,84.0,82.0,7.07,4.22,50.0,56,87
S0616,4.7,100.0,85.0,83.0,6.63,0.5,35.0,36,81
S0617,4.7,82.0,64.0,57.0,8.38,5.08,57.0,54,67
S0618,5.8,69.0,76.0,68.0,3.59,4.68,82.0,43,76
S0619,5.4,73.0,82.0,90.0,6.98,6.48,6.0,19,77
S0620,4.9,92.0,97.0,85.0,6.87,5.12,30.0,43,83
S0621,3.1,79.0,86.0,51.0,6.46,4.7,0.0,12,62
S0622,5.3,61.0,87.0,77.0,9.07,1.05,39.0,11,75
S0623,7.9,89.0,76.0,42.0,5.94,3.15,42.0,6,72
S0624,6.9,70.0,96.0,73.0,7.93,6.69,34.0,12,80
S0625,7.4,100.0,81.0,100.0,7.43,9.79,22.0,27,89
S0626,3.6,91.0,62.0,58.0,8.51,5.26,0.0,41,61
S0627,2.7,73.0,96.0,59.0,6.2,6.32,42.0,25,69
S0628,4.3,93.0,85.0,83.0,6.12,7.88,64.0,42,82
S0629,4.6,79.0,68.0,49.0,8.32,3.47,23.0,3,62
S0630,6.5,88.0,68.0,63.0,7.51,6.42,44.0,3,73
S0631,1.5,84.0,79.0,81.0,5.15,3.65,4.0,20,67
S0632,7.3,68.0,82.0,62.0,6.35,7.66,44.0,28,75
S0633,4.2,70.0,78.0,68.0,7.46,5.88,27.0,23,68
S0634,3.7,90.0,80.0,83.0,8.01,6.25,20.0,48,75
S0635,2.7,74.0,100.0,78.0,6.18,3.54,20.0,3,74
S0636,1.5,73.0,91.0,76.0,3.5,7.27,27.0,42,69
S0637,6.0,67.0,78.0,67.0,7.63,10.71,43.0,24,73
S0638,4.6,83.0,89.0,78.0,5.54,2.98,9.0,43,75
S0639,2.2,100.0,60.0,70.0,4.58,4.65,27.0,40,65
S0640,2.2,65.0,81.0,79.0,3.6,6.08,34.0,6,68
S0641,3.9,78.0,100.0,65.0,7.98,7.47,13.0,20,72
S0642,7.5,95.0,72.0,69.0,7.15,4.1,71.0,11,82
S0643,4.0,77.0,62.0,57.0,6.73,0.5,18.0,32,61
S0644,1.8,83.0,65.0,71.0,8.67,8.9,22.0,60,63
S0645,4.1,65.0,59.0,60.0,7.76,7.4,15.0,27,59
S0646,4.0,83.0,63.0,55.0,8.94,1.14,71.0,21,67
S0647,0.5,76.0,69.0,76.0,5.33,3.98,46.0,44,64
S0648,4.4,90.0,54.0,75.0,6.96,9.42,16.0,48,67
S0649,4.1,92.0,75.0,84.0,5.06,9.12,57.0,50,78
S0650,5.8,100.0,89.0,66.0,6.72,7.85,39.0,13,79
S0651,7.8,85.0,61.0,78.0,6.7,5.06,40.0,22,78
S0652,6.5,82.0,98.0,80.0,7.75,5.71,28.0,35,83
S0653,4.0,80.0,83.0,79.0,7.05,5.17,20.0,47,73
S0654,2.5,74.0,90.0,60.0,7.75,8.32,42.0,22,68
S0655,9.1,82.0,65.0,74.0,7.84,3.31,24.0,28,78
S0656,4.6,74.0,88.0,77.0,9.59,3.49,71.0,21,79
S0657,4.5,80.0,59.0,72.0,6.62,8.03,10.0,46,65
S0658,4.5,94.0,88.0,41.0,5.87,5.39,66.0,18,71
S0659,4.9,66.0,78.0,74.0,7.3,8.95,33.0,31,72
S0660,4.2,92.0,83.0,100.0,6.04,3.82,41.0,60,84
S0661,3.5,94.0,57.0,67.0,8.78,5.36,52.0,46,67
S0662,3.5,77.0,62.0,61.0,6.66,3.19,22.0,37,61
S0663,4.4,53.0,84.0,78.0,6.32,5.52,52.0,21,73
S0664,3.5,71.0,61.0,77.0,6.43,1.8,0.0,14,63
S0665,3.2,94.0,82.0,90.0,7.86,4.28,21.0,25,77
S0666,4.7,78.0,54.0,53.0,6.81,1.91,17.0,27,59
S0667,4.0,66.0,88.0,83.0,6.23,7.23,10.0,40,73
S0668,7.2,72.0,57.0,81.0,9.0,7.29,31.0,60,74
S0669,0.5,88.0,83.0,70.0,5.97,1.17,43.0,60,67
S0670,6.5,85.0,84.0,77.0,7.04,8.83,49.0,23,82
S0671,6.7,75.0,65.0,87.0,7.78,11.74,40.0,31,78
S0672,0.8,74.0,84.0,85.0,5.04,5.62,22.0,47,68
S0673,3.9,73.0,79.0,55.0,7.58,3.9,42.0,60,66
S0674,3.8,67.0,67.0,84.0,5.73,12.0,37.0,29,70
S0675,2.0,97.0,60.0,71.0,7.99,2.2,54.0,47,67
S0676,3.1,74.0,46.0,73.0,5.84,5.55,51.0,30,63
S0677,2.5,93.0,80.0,73.0,7.83,5.95,36.0,51,71
S0678,7.7,96.0,52.0,70.0,8.33,8.86,17.0,26,72
S0679,6.2,90.0,76.0,90.0,8.03,6.4,22.0,20,81
S0680,6.8,73.0,71.0,71.0,7.3,4.25,24.0,38,73
S0681,5.8,83.0,85.0,55.0,6.72,3.12,29.0,19,72
S0682,2.5,78.0,70.0,66.0,6.31,4.65,40.0,27,65
S0683,3.6,67.0,70.0,75.0,8.77,2.98,49.0,25,69
S0684,5.4,82.0,86.0,90.0,6.16,5.62,34.0,40,82
S0685,2.3,64.0,80.0,81.0,5.76,4.09,35.0,38,69
S0686,5.8,92.0,80.0,59.0,7.8,1.76,38.0,52,74
S0687,4.1,72.0,82.0,100.0,6.04,8.64,25.0,23,79
S0688,3.8,80.0,52.0,76.0,5.86,4.26,16.0,29,64
S0689,5.8,81.0,86.0,91.0,5.27,2.33,0.0,15,79
S0690,5.3,75.0,84.0,70.0,6.42,5.08,21.0,59,73
S0691,3.9,85.0,60.0,80.0,6.9,5.67,44.0,3,71
S0692,6.6,72.0,71.0,85.0,7.29,1.13,21.0,10,76
S0693,2.6,88.0,74.0,90.0,8.14,6.33,30.0,15,74
S0694,5.6,62.0,73.0,88.0,7.63,2.88,44.0,56,76
S0695,5.6,80.0,80.0,85.0,6.77,9.78,45.0,16,80
S0696,3.9,100.0,96.0,67.0,6.76,6.81,13.0,17,75
S0697,5.1,66.0,91.0,63.0,7.61,4.5,55.0,19,74
S0698,2.2,70.0,55.0,77.0,8.53,3.64,58.0,11,64
S0699,6.2,84.0,84.0,86.0,7.15,5.24,12.0,48,80
S0700,4.2,80.0,95.0,69.0,6.44,7.03,19.0,5,74
S0701,3.6,82.0,81.0,88.0,5.81,5.44,59.0,5,79
S0702,6.4,84.0,91.0,94.0,5.27,4.96,32.0,58,86
S0703,3.2,86.0,100.0,58.0,7.8,5.65,0.0,14,69
S0704,2.0,91.0,90.0,59.0,7.69,3.99,7.0,50,65
S0705,1.7,83.0,79.0,70.0,7.69,4.64,30.0,26,66
S0706,5.6,75.0,91.0,77.0,6.85,0.5,12.0,8,76
S0707,2.2,86.0,77.0,64.0,8.69,7.93,27.0,5,65
S0708,7.7,100.0,75.0,92.0,6.42,6.25,36.0,7,87
S0709,0.8,76.0,70.0,78.0,8.15,3.57,64.0,16,67
S0710,7.6,66.0,98.0,73.0,6.95,10.25,29.0,55,81
S0711,4.9,91.0,63.0,50.0,6.27,5.72,56.0,14,67
S0712,4.3,77.0,98.0,52.0,7.71,2.91,64.0,37,73
S0713,3.5,52.0,82.0,76.0,7.49,7.64,64.0,56,71
S0714,5.2,88.0,54.0,40.0,7.43,6.5,41.0,41,60
S0715,4.4,72.0,81.0,87.0,7.1,6.49,0.0,4,73
S0716,6.5,77.0,43.0,70.0,6.95,4.44,44.0,36,68
S0717,4.7,82.0,84.0,100.0,9.87,6.63,56.0,48,85
S0718,4.8,80.0,88.0,100.0,8.42,4.85,33.0,56,84
S0719,3.8,87.0,66.0,69.0,7.87,6.89,70.0,17,72
S0720,4.4,73.0,77.0,70.0,7.13,0.74,52.0,47,72
S0721,5.1,84.0,100.0,87.0,8.21,4.42,46.0,36,85
S0722,1.4,75.0,67.0,98.0,7.62,9.81,57.0,6,73
S0723,2.1,87.0,59.0,47.0,7.03,3.58,42.0,16,57
S0724,5.8,85.0,97.0,45.0,6.64,3.99,0.0,29,69
S0725,4.8,67.0,100.0,63.0,6.9,4.38,25.0,36,73
S0726,4.2,91.0,75.0,81.0,3.2,2.46,59.0,38,78
S0727,4.5,72.0,90.0,79.0,7.25,0.5,19.0,37,75
S0728,5.1,88.0,95.0,88.0,6.41,4.92,31.0,48,83
S0729,3.5,82.0,64.0,54.0,8.91,5.84,14.0,57,60
S0730,3.1,100.0,68.0,37.0,7.02,5.37,71.0,48,63
S0731,4.9,75.0,93.0,85.0,5.57,5.14,69.0,10,84
S0732,2.7,74.0,100.0,60.0,6.94,5.61,17.0,41,68
S0733,5.2,78.0,83.0,42.0,5.74,8.06,38.0,36,66
S0734,1.4,74.0,62.0,74.0,7.57,5.02,21.0,29,61
S0735,6.4,88.0,100.0,84.0,7.35,4.06,47.0,14,88
S0736,5.4,59.0,67.0,70.0,8.15,4.8,45.0,4,69
S0737,5.0,65.0,70.0,65.0,6.05,6.95,51.0,44,69
S0738,6.3,65.0,80.0,70.0,7.04,9.03,42.0,56,74
S0739,7.5,89.0,98.0,66.0,5.36,3.93,94.0,42,89
S0740,6.3,99.0,88.0,52.0,7.84,5.75,14.0,36,73
S0741,1.2,77.0,81.0,61.0,7.62,6.35,1.0,50,59
S0742,2.2,76.0,82.0,80.0,7.59,3.02,27.0,45,70
S0743,3.4,79.0,76.0,77.0,7.0,5.55,4.0,13,68
S0744,4.5,92.0,83.0,75.0,7.5,1.84,5.0,46,73
S0745,5.4,67.0,37.0,57.0,8.93,1.08,15.0,18,56
S0746,3.2,81.0,71.0,69.0,6.66,6.42,17.0,33,66
S0747,4.8,90.0,79.0,39.0,7.17,4.54,16.0,21,63
S0748,3.1,84.0,58.0,75.0,5.7,6.01,45.0,16,67
S0749,3.4,80.0,81.0,93.0,5.96,5.46,25.0,15,76
S0750,2.0,90.0,72.0,50.0,7.12,3.06,31.0,54,60
S0751,2.8,46.0,100.0,63.0,8.32,5.39,53.0,57,69
S0752,2.1,86.0,99.0,77.0,6.69,2.42,20.0,5,74
S0753,2.7,70.0,68.0,91.0,6.72,8.98,30.0,6,70
S0754,6.4,56.0,73.0,65.0,6.51,2.11,42.0,38,70
S0755,2.8,84.0,74.0,62.0,6.36,5.01,0.0,3,62
S0756,9.2,94.0,68.0,42.0,7.35,2.89,0.0,48,69
S0757,5.4,76.0,78.0,74.0,5.2,6.93,42.0,12,75
S0758,4.8,89.0,64.0,100.0,8.54,4.67,45.0,36,80
S0759,3.0,97.0,58.0,76.0,6.2,4.2,76.0,33,72
S0760,5.8,94.0,84.0,72.0,7.87,7.63,38.0,36,79
S0761,3.5,98.0,84.0,77.0,5.48,5.57,51.0,33,78
S0762,4.7,87.0,63.0,72.0,7.8,6.79,31.0,31,70
S0763,9.1,79.0,88.0,60.0,7.81,3.05,41.0,21,81
S0764,4.3,59.0,66.0,84.0,7.46,1.99,68.0,27,73
S0765,6.6,75.0,79.0,75.0,5.81,5.77,0.0,27,74
S0766,3.2,68.0,87.0,72.0,7.3,4.7,43.0,8,71
S0767,4.4,100.0,74.0,57.0,5.58,7.07,78.0,56,74
S0768,7.7,76.0,82.0,92.0,6.7,5.3,41.0,37,86
S0769,3.4,79.0,67.0,82.0,8.24,6.01,68.0,32,74
S0770,7.8,85.0,72.0,64.0,7.96,1.44,22.0,26,75
S0771,5.8,79.0,72.0,87.0,7.02,10.22,34.0,2,78
S0772,3.5,98.0,64.0,65.0,5.83,5.09,36.0,12,68
